اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة الأهلية الجهوية أمل الساحل,فلاحة / صيد و الخدمات المتصلة بها,حي السلام,سوسة,النفيضة,النفيضة,جهوية,الشركه امل الساحل,76.47058823529412,124,True,الشركة الاهلية المحلية أم الاقصاب,1827094A,1827094A,تونس,أم العرائس,10000,شركة أهلية محلية,https://trovit.tn/charika/1827094A,False,False
الشركة الاهلية المحلية سيدي العابد,فلاحة / صيد و الخدمات المتصلة بها,أولاد بالليل قريميط,سوسة,النفيضة,النفيضة,محلية,الشركه سيدي العابد,66.66666666666667,46,True,الشركة الأهلية المحلية العمارنة,1922864E,1922864E,توزر,توزر,10000,شركة أهلية محلية,https://trovit.tn/charika/1922864E,False,False
الشركة الاهلية المحلية الصناعية عين بوهدمة بالمزونة,صناعة المطاط,طريق الصخيرة,سيدي بوزيد,المزونة,المزونة,جهوية,الشركه الصناعيه عين بوهدمه بالمزونه,61.01694915254237,43,True,الشركة الأهلية المحلية النموذجية النويقص,1906362S,1906362S,صفاقس,الصخيرة,11000,شركة أهلية محلية,https://trovit.tn/charika/1906362S,False,False
الشركة الأهلية الجهوية للاستثمار و التطور الفلاحي,زراعة,نهج الجامع,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية,الشركه للاستثمار و التطور الفلاحي,66.66666666666667,56,True,الشركة الاهلية المحلية الفلاحية الخيرات بالسند,1897708W,1897708W,قفصة,السند,10000,شركة أهلية محلية,https://trovit.tn/charika/1897708W,False,False
الشركة الأهلية المحلية الوحدة رحال,فلاحة / صيد و الخدمات المتصلة بها,رحال,سيدي بوزيد,بئر الحفي,بئر الحفي,محلية,الشركه الوحده رحال,72.72727272727273,128,True,الشركة الاهلية المحلية الهراهرة,1825518V,1825518V,القصرين,سبيطلة,10000,شركة أهلية محلية,https://trovit.tn/charika/1825518V,False,False
الشركة الأهلية المحلية للخدمات الفلاحية الزعافرية,فلاحة / صيد و الخدمات المتصلة بها,نهج ساقية سيدي يوسف,سيدي بوزيد,سيدي بوزيد الغربية,سيدي بوزيد الغربية,محلية,الشركه للخدمات الفلاحيه الزعافريه,75.0,49,True,الشركة الأهلية المحلية الريادة الفلاحية,1901072N,1901072N,سيدي بوزيد,منزل بوزيان,10000,شركة أهلية محلية,https://trovit.tn/charika/1901072N,False,False
الضيعة 18 (شركة أهلية محلية),فلاحة / صيد و الخدمات المتصلة بها,شارع اتحاد المغرب العربي,سيدي بوزيد,سيدي بوزيد الشرقية,الأحواز,محلية,الضيعه 18 شركه اهليه محليه,78.57142857142857,78,True,الجنة المخفية شركة أهلية محلية,1879810Q,1879810Q,باجة,باجة الشمالية,10200,شركة أهلية محلية,https://trovit.tn/charika/1879810Q,False,False
الشركة الأهلية المحلية الملك للرمال,إستخراج الرمال و الصلصال (الطفل),الذويبات الجنوبية كلم 80,سيدي بوزيد,أولاد حفوز,أولاد حفوز,محلية,الشركه الملك للرمال,71.42857142857143,0,True,الشركة الأهلية الجهوية للأعلاف و اللحوم,1885807J,1885807J,زغوان,الفحص,20000,شركة أهلية جهوية,https://trovit.tn/charika/1885807J,False,False
الشركة الأهلية الجهوية حنبعل لخدمات سيارات الأجرة لواج بصفاقس,خدمات ملحقة بالنقل,20 شارع الرباط,صفاقس,صفاقس المدينة,المدينة,جهوية,الشركه حنبعل لخدمات سيارات الاجره لواج بصفاقس,60.97560975609756,32,True,الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,1847104V,1847104V,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1847104V,False,False
الشركة الأهلية الجهوية صفاقس العزة,أنشطة المساندة للإدارة,شارع بغداد عمارة عبد المولى كلم 1,صفاقس,صفاقس المدينة,المدينة,محلية,الشركه صفاقس العزه,77.41935483870968,64,True,الشركة الأهلية المحلية الوفاق,1864908Y,1864908Y,صفاقس,العامرة,10000,شركة أهلية محلية,https://trovit.tn/charika/1864908Y,False,False
الشركة الاهلية المحلية العامرة للطاقات المتجددة,إنتاج و توزيع الكهرباء و الغاز و الحرارة,شارع 7 نوفمبر,صفاقس,العامرة,العامرة,محلية,الشركه العامره للطاقات المتجدده,67.79661016949152,42,True,الشركة الأهلية المحلية للخدمات العامة بقرقنة,1911725J,1911725J,صفاقس,قرقنة,10000,شركة أهلية محلية,https://trovit.tn/charika/1911725J,False,False
الشركة الاهلية المحلية المهذبي للطاقة,إنتاج و توزيع الكهرباء و الغاز و الحرارة,الطريق الوطنية 2 سيدي محمد نويقز,صفاقس,الصخيرة,الصخيرة,محلية,الشركه المهذبي للطاقه,68.57142857142857,58,True,الشركة الأهلية المحلية المصباح,1897688K,1897688K,سيدي بوزيد,سيدي بوزيد الغربية,10000,شركة أهلية محلية,https://trovit.tn/charika/1897688K,False,False
الشركة الأهلية المحلية الهناء,أنشطة خدمات ملحقة بالزراعة,شارع الهادي شاكر,صفاقس,جبنيانة,جبنيانة,محلية,الشركه الهناء,80.0,45,True,الشركة الاهلية المحلية النصر,1878153A,1878153A,صفاقس,جبنيانة,10300,شركة أهلية محلية,https://trovit.tn/charika/1878153A,False,False
الشركة الأهلية الجهوية القدس لسيارات الأجرة لواج,النقل البرّي,محطة اللواج,قابس,قابس المدينة,المنطقة الأولى,محلية,الشركه القدس لسيارات الاجره لواج,62.06896551724138,70,True,الشركة الاهلية المحلية لخدمات الصيد البحري,1872655S,1872655S,صفاقس,العامرة,14200,شركة أهلية محلية,https://trovit.tn/charika/1872655S,False,False
الشركة الاهلية المحلية الصنم بالعذارى,تربية الحيوانات,زعفران,قبلي,دوز الشمالية,دوز الشرقية,محلية,الشركه الصنم بالعذاري,76.19047619047619,112,True,الشركة الأهلية المحلية النور بالسواسي,1837708N,1837708N,المهدية,السواسي,10000,شركة أهلية محلية,https://trovit.tn/charika/1837708N,False,False
النور و السلام للخدمات الفلاحية شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,شارع أحمد خيرالدين النزلة,قبلي,قبلي الشمالية,قبلي الشمالية,جهوية,النور و السلام للخدمات الفلاحيه شركه اهليه جهويه,73.80952380952381,2,True,الظريف لخدمات النقل شركة أهلية جهوية,1879535Q,1879535Q,المنستير,المنستير,22800,شركة أهلية جهوية,https://trovit.tn/charika/1879535Q,False,False
خيرات نفزاوة شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,حي الوكالة العقارية للسكنى بياز,قبلي,قبلي الشمالية,قبلي الشمالية,جهوية,خيرات نفزاوه شركه اهليه جهويه,61.53846153846154,96,True,شركة خيرات جبل برقو شركة أهلية محلية,1876730D,1876730D,سليانة,برقو,10000,شركة أهلية محلية,https://trovit.tn/charika/1876730D,False,False
