اسم_الشركة,الموضوع / النشاط,العنوان,الولاية,المعتمدية,المنطقة,النوع,__name_norm__,match_score,trovit_index,has_candidate,trovit_name,trovit_charika_id,trovit_tax_id,trovit_wilaya,trovit_delegation,trovit_capital,trovit_legal_form,trovit_detail_url,matched_strict,matched_maybe
الشركة ألأهلية الإتحاد أولاد جابالله,فلاحة / صيد و الخدمات المتصلة بها,أولاد جاب الله,المهدية,ملولش,ملولش,محلية,الشركه الاتحاد اولاد جابالله,100.0,139,True,الشركة ألأهلية الإتحاد أولاد جابالله,1804963Y,1804963Y,المهدية,ملولش,60000,شركة أهلية محلية,https://trovit.tn/charika/1804963Y,True,False
الشركة الأهلية المحلية الماسة للفلاحة المندمجة,فلاحة / صيد و الخدمات المتصلة بها,الحي الصناعي,المهدية,السواسي,السواسي,محلية,الشركه الماسه للفلاحه المندمجه,74.50980392156863,89,True,الشركة الأهلية المحلية بنمسلم للفلاحة,1867785T,1867785T,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1867785T,False,False
الشركة الاهلية المحلية البلام بالشابة,فلاحة / صيد و الخدمات المتصلة بها,نهج الخذر بن حسين,المهدية,الشابة,الشابة الشمالية,محلية,الشركه البلام بالشابه,100.0,130,True,الشركة الاهلية المحلية البلام بالشابة,1822949C,1822949C,تونس,الشابة,58000,شركة أهلية محلية,https://trovit.tn/charika/1822949C,True,False
الشركة الأهلية المحلية النور بالسواسي,فلاحة / صيد و الخدمات المتصلة بها,طريق السواسي-الجم,المهدية,السواسي,السواسي,محلية,الشركه النور بالسواسي,100.0,112,True,الشركة الأهلية المحلية النور بالسواسي,1837708N,1837708N,المهدية,السواسي,10000,شركة أهلية محلية,https://trovit.tn/charika/1837708N,True,False
الشركة الأهلية المحلية ريحانة,حراجة / إستغلال الغابات,كاب نقرو,باجة,نفزة,كاب نقرو,محلية,الشركه ريحانه,72.0,45,True,الشركة الاهلية المحلية النصر,1878153A,1878153A,صفاقس,جبنيانة,10300,شركة أهلية محلية,https://trovit.tn/charika/1878153A,False,False
المسيد للسياحة الايكولوجية شركة أهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,الجميلة,باجة,نفزة,الجميلة,محلية,المسيد للسياحه الايكولوجيه شركه اهليه محليه,76.54320987654322,121,True,المالوسي لصناعة الآجر شركة أهلية محلية,1830277F,1830277F,سيدي بوزيد,منزل بوزيان,10000,شركة أهلية محلية,https://trovit.tn/charika/1830277F,False,False
الشركة الأهلية الجهوية لحرف المكفوفين بباجة,صنع منتجات متنوعة من الخشب أو من الفلين (الخفاف) أو من القصب,شارع البيئة الحي الإداري سيدي اسماعيل,باجة,باجة الجنوبية,زهرة مدين,جهوية,الشركه لحرف المكفوفين بباجه,63.63636363636363,3,True,الشركة الأهلية الجهوية ثمار الوطن,1888626T,1888626T,قفصة,قفصة الجنوبية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1888626T,False,False
شركة السلامة بقرام قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,قرام,باجة,قبلاط,قبلاط,محلية,شركه السلامه بقرام قبلاط,66.66666666666667,130,True,الشركة الاهلية المحلية البلام بالشابة,1822949C,1822949C,تونس,الشابة,58000,شركة أهلية محلية,https://trovit.tn/charika/1822949C,False,False
سواعد قبلاط,أنشطة خدمات ملحقة بالزراعات المحاصلية,العقلة,باجة,قبلاط,قبلاط,محلية,سواعد قبلاط,48.275862068965516,86,True,الشركة الاهلية المحلية خيرات قبلاط,1866813A,1866813A,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1866813A,False,False
باش حامبة الخير شركة أهلية محلية,زراعة,حي باش حامبة القريعات,باجة,مجاز الباب,القريعات,محلية,باش حامبه الخير شركه اهليه محليه,76.66666666666666,138,True,حلم الزوارع شركة أهلية محلية,1805848A,1805848A,باجة,نفزة,10000,شركة أهلية محلية,https://trovit.tn/charika/1805848A,False,False
بركة الفدان شركة أهلية محلية,زراعة النباتات الصناعية,فدان السوق 9046,باجة,تبرسق,فدان السوق,جهوية,بركه الفدان شركه اهليه محليه,100.0,51,True,بركة الفدان شركة أهلية محلية,1899529D,1899529D,باجة,تبرسق,10000,شركة أهلية محلية,https://trovit.tn/charika/1899529D,True,False
سوا أجريفوتور شركة الأهلية المحلية,فلاحة / صيد و الخدمات المتصلة بها,حي الهادي شاكر,باجة,مجاز الباب,مجاز الباب المدينة,محلية,سوا اجريفوتور شركه,58.06451612903225,23,True,الشركة الاهلية المحلية الأريج,1924807D,1924807D,سيدي بوزيد,جلمة,10000,شركة أهلية محلية,https://trovit.tn/charika/1924807D,False,False
الشركة الأهلية المحلية سهول غانم,فلاحة / صيد و الخدمات المتصلة بها,توكابر,باجة,مجاز الباب,توكابر,محلية,الشركه سهول غانم,64.70588235294117,131,True,الشركة الاهلية المحلية فلاح سبيطلة,1822253A,1822253A,القصرين,سبيطلة,10000,شركة أهلية محلية,https://trovit.tn/charika/1822253A,False,False
الشركة الأهلية المحلية التوازن مجاز الباب,فلاحة / صيد و الخدمات المتصلة بها,طريق باجة,باجة,مجاز الباب,مجاز الباب المدينة,محلية,الشركه التوازن مجاز الباب,67.85714285714286,15,True,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,1835385F,1835385F,تطاوين,تطاوين الشمالية,20000,شركة أهلية جهوية,https://trovit.tn/charika/1835385F,False,False
الشركة الاهلية المحلية باولاد سلامة تستور,فلاحة / صيد و الخدمات المتصلة بها,أولاد سلامة,باجة,تستور,أولاد سلامة,محلية,الشركه باولاد سلامه تستور,100.0,103,True,الشركة الاهلية المحلية باولاد سلامة تستور,1857352Q,1857352Q,باجة,تستور,15000,شركة أهلية محلية,https://trovit.tn/charika/1857352Q,True,False
الجنة المخفية شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,محضنة المؤسسات,باجة,باجة الشمالية,باجة,جهوية,الجنه المخفيه شركه اهليه محليه,100.0,78,True,الجنة المخفية شركة أهلية محلية,1879810Q,1879810Q,باجة,باجة الشمالية,10200,شركة أهلية محلية,https://trovit.tn/charika/1879810Q,True,False
الشركة الأهلية المحلية زهرة الجديدي,فلاحة / صيد و الخدمات المتصلة بها,سيدي أحمد الجديدي,باجة,مجاز الباب,مجاز الباب المدينة,محلية,الشركه زهره الجديدي,100.0,73,True,الشركة الأهلية المحلية زهرة الجديدي,1883252L,1883252L,باجة,مجاز الباب,10000,شركة أهلية محلية,https://trovit.tn/charika/1883252L,True,False
توكا بلي دور شركة أهلية محلية,فلاحة / صيد و الخدمات المتصلة بها,توكابر,باجة,مجاز الباب,توكابر,محلية,توكا بلي دور شركه اهليه محليه,100.0,81,True,توكا بلي دور شركة أهلية محلية,1879706R,1879706R,باجة,مجاز الباب,10000,شركة أهلية محلية,https://trovit.tn/charika/1879706R,True,False
كاف هدوم شركة أهلية محلية,أنشطة ترفيهية و ثقافية و رياضية,عين جمالة,باجة,تبرسق,عين جمالة,جهوية,كاف هدوم شركه اهليه محليه,100.0,93,True,كاف هدوم شركة أهلية محلية,1876023G,1876023G,باجة,تبرسق,10000,شركة أهلية محلية,https://trovit.tn/charika/1876023G,True,False
جنان فاقا شركة أهلية جهوية,فلاحة / صيد و الخدمات المتصلة بها,حي الحرفيين,باجة,قبلاط,قبلاط,محلية,جنان فاقا شركه اهليه جهويه,75.47169811320755,68,True,جنان جيوفي شركة أهلية محلية,1888979S,1888979S,زغوان,بير المشارقة,10000,شركة أهلية محلية,https://trovit.tn/charika/1888979S,False,False
شركة الإمتياز بقبلاط شركة أهلية محلية,زراعة,الخرايسية القمرتي,باجة,قبلاط,قبلاط,محلية,شركه الامتياز بقبلاط شركه اهليه محليه,100.0,101,True,شركة الإمتياز بقبلاط شركة أهلية محلية,1859076Y,1859076Y,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1859076Y,True,False
الشركة الاهلية المحلية خيرات قبلاط,فلاحة / صيد و الخدمات المتصلة بها,الطريفة,باجة,قبلاط,قبلاط,محلية,الشركه خيرات قبلاط,100.0,86,True,الشركة الاهلية المحلية خيرات قبلاط,1866813A,1866813A,باجة,قبلاط,10000,شركة أهلية محلية,https://trovit.tn/charika/1866813A,True,False
استثمارات سيدي اسماعيل شركة اهلية محلية,زراعة,شارع فرنسا عوني سنتر الطابق 3 ب7,باجة,باجة الجنوبية,زهرة مدين,محلية,استثمارات سيدي اسماعيل شركه اهليه محليه,100.0,27,True,استثمارات سيدي اسماعيل شركة اهلية محلية,1924428W,1924428W,باجة,باجة الجنوبية,10000,شركة أهلية محلية,https://trovit.tn/charika/1924428W,True,False
